Max Depth,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1,Test F1,Train ROC AUC,Test ROC AUC
1,0.8137272690617314,0.80000806419096,0.6244972577696527,0.0,0.17216874149488434,0.0,0.26992216822725296,0.0,0.5731438317053192,0.5
2,0.8229607677109794,0.8000887061005605,0.6158226560911124,0.5833333333333334,0.3052265510810947,0.001411290322580645,0.40815501263689974,0.0028157683024939663,0.6288112519275287,0.500579643447667
3,0.8243921616063868,0.7991210031853554,0.6119126896041436,0.49043478260869566,0.3334509349327151,0.11370967741935484,0.43167063582683585,0.18461538461538463,0.6402899748564511,0.542087437873026
4,0.8263275674367969,0.7681545098987944,0.6169203222918532,0.3854408352668213,0.3473111234312787,0.2679435483870968,0.44442294669633353,0.31612749762131304,0.6466971554053941,0.5805722479599917
5,0.8301278174267167,0.6777952501915245,0.6326911124922312,0.3003030702332323,0.35915528451186934,0.4594758064516129,0.4582047325102881,0.3632161925253008,0.6535138593848234,0.5959240833578562
6,0.8359945163501472,0.5968710939075037,0.6551664204397324,0.2874978910072549,0.3799707676024394,0.6870967741935484,0.48098762281485263,0.4053764719876294,0.6649863288259794,0.6307062924442869
7,0.8466190879400024,0.5745736059029878,0.6969593731368708,0.2649852879361076,0.41242880903180285,0.635483870967742,0.5182065733645748,0.3740136458024325,0.6837984172170342,0.5974153390421594
8,0.8623140195959841,0.6329180274988911,0.7474779823859087,0.29513545580383627,0.47054079935487125,0.6018145161290323,0.5775262132318827,0.3960461722170625,0.7153996790645556,0.6212540147804073
9,0.8853372847869038,0.37563001491875325,0.8205361199454794,0.21453756441551397,0.5461418275288544,0.7973790322580645,0.6557932641389536,0.33810643299850396,0.7581395225619776,0.5337885534759402
10,0.9124027256965445,0.6532397887181969,0.8868382710053424,0.2683889030287605,0.6442215614132352,0.42520161290322583,0.7463070006422607,0.3290684974254954,0.8118352114867039,0.5677240361275365
11,0.9461513648643199,0.5410265715092133,0.9540301872612262,0.24758311718934214,0.7677536414495237,0.6350806451612904,0.8508154602323503,0.35627438783011933,0.8792524995675475,0.576297441677465
12,0.9731260836256602,0.6014273617999274,0.9853614423783417,0.24265858501410806,0.8786855501234817,0.4681451612903226,0.9289710662332819,0.3196365888911831,0.9377110323100807,0.5514456969195427
13,0.9921575742913592,0.7143260352405145,0.9987441787452253,0.29539765068361257,0.9619978831712112,0.3092741935483871,0.9800266995276238,0.30217669654289375,0.9808477376240617,0.5624290427446588
14,0.9989718156525946,0.7150114914721181,0.999949344004863,0.30143180105501133,0.9949095307696185,0.3225806451612903,0.997423071092921,0.3116478379431243,0.997448465219745,0.5678474517576019
15,0.9999193580903996,0.707310189105278,1.0,0.3053344623200677,0.9995967945164054,0.36350806451612905,0.9997983566063416,0.33189139438564197,0.9997983972582027,0.5783822264015048
16,0.9999798395226,0.6454578444417564,1.0,0.27958596894767107,0.9998991986291014,0.4901209677419355,0.9999495967741936,0.3560600512632735,0.9999495993145506,0.5872055370436909
17,0.9999798395226,0.7062618442804726,1.0,0.30889363800756203,0.9998991986291014,0.37883064516129034,0.9999495967741936,0.34030607624739656,0.9999495993145506,0.5834730817661701
18,0.9999798395226,0.7257368654489739,1.0,0.33693342776203966,0.9998991986291014,0.3836693548387097,0.9999495967741936,0.35878582202111614,0.9999495993145506,0.5974593939154992
19,0.9999798395226,0.6581992661586227,1.0,0.2622684872245505,0.9998991986291014,0.3911290322580645,0.9999495967741936,0.31399206927247714,0.9999495993145506,0.5580462458805568
20,0.9999798395226,0.7038425869924599,1.0,0.28927372327266304,0.9998991986291014,0.33004032258064514,0.9999495967741936,0.30831528392504004,0.9999495993145506,0.5636643828517358
