Max Depth,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1,Test F1,Train ROC AUC,Test ROC AUC
1,0.9191264219877077,0.9194688823721082,0.5014749262536873,0.5060240963855421,0.008561212670594752,0.00849514563106796,0.016835016835016835,0.01670976725681321,0.5039061525061193,0.5038843294956673
2,0.9195622334727659,0.9195177582274356,0.5287234042553192,0.5045045045045045,0.05005791408571285,0.045307443365695796,0.09145696278235267,0.08314773570898293,0.5230658440685853,0.5207046111860019
3,0.9199450958988917,0.9194362984685566,0.5570621468926553,0.49878345498783455,0.049655033489449565,0.04146440129449838,0.09118231839829842,0.0765639589169001,0.5230904054898392,0.5189071244547481
4,0.9201202350938217,0.9195014662756599,0.566467715680955,0.5036319612590799,0.05257591781235836,0.042071197411003236,0.09622119815668202,0.07765540414411051,0.524517612104325,0.5192193821061679
5,0.9209959310684713,0.9191430433365917,0.6183127572016461,0.47845804988662133,0.06053280958855819,0.04267799352750809,0.11027017109306912,0.07836583101207056,0.5286223530709052,0.5193012903352332
6,0.9223237305463121,0.9186379928315412,0.6915204678362573,0.44419642857142855,0.07146094576219973,0.040250809061488674,0.1295358072025195,0.07381305637982195,0.5343279327990302,0.5179193658320413
7,0.9250852276198583,0.9180026067122842,0.7804597701149425,0.41392649903288203,0.1025834718235383,0.043284789644012944,0.18133262117772733,0.07837392418970884,0.5500221380175734,0.5189579380922595
8,0.9294799995112395,0.9180514825676116,0.8686575819077994,0.4268707482993197,0.15087878330059928,0.05076860841423948,0.2571011756629194,0.09074475777295733,0.5744356781318517,0.5223986213096784
9,0.9371779780790896,0.9172043010752688,0.9395201269085861,0.4,0.23860603313692905,0.055825242718446605,0.38056224899598395,0.0979765708200213,0.6186272271134389,0.5242447497878858
10,0.9481384332780762,0.9164711632453568,0.9773519163763066,0.38254172015404364,0.3672760235685149,0.060275080906148866,0.5339141257000622,0.10414118469334266,0.6832635579550792,0.5258760761395158
11,0.9638968878172361,0.9156728576083415,0.9944229558334083,0.36480186480186483,0.5567306239613234,0.06330906148867314,0.713824497966036,0.10789382971389176,0.7782279383865254,0.526826052468059
12,0.9837079818669838,0.9153796024763766,0.9994330708661417,0.37166324435318276,0.799012942539155,0.0732200647249191,0.8880555244598679,0.12233862791483609,0.8994865299413964,0.5311879613439607
13,0.9964076100016699,0.9154447702834799,1.0,0.3699788583509514,0.9555824142619731,0.07079288025889968,0.9772867737948084,0.11884550084889643,0.9777912071309866,0.5301161226016308
14,0.9996537946146734,0.9155099380905832,1.0,0.37127659574468086,0.9957193936647026,0.07059061488673139,0.9978551061091625,0.11862678450033991,0.9978596968323513,0.530059287881384
15,0.999983707981867,0.9160638644509612,0.999949634852682,0.3831460674157303,0.9998489197764012,0.06897249190938512,0.9998992747784046,0.11690092560850189,0.9999222441850694,0.529622329305745
16,0.9999918539909335,0.9163734115347019,0.999949639925467,0.3828996282527881,0.999949639925467,0.0625,0.999949639925467,0.10745957224830464,0.9999726042596022,0.5268379226025941
17,0.9999918539909335,0.9160475724991854,0.999949639925467,0.3698630136986301,0.999949639925467,0.060072815533980584,0.999949639925467,0.1033582738820254,0.9999726042596022,0.5255534536242445
18,0.9999918539909335,0.9165037471489085,1.0,0.37917222963951935,0.9998992798509342,0.05744336569579288,0.9999496373892023,0.09977164939399262,0.999949639925467,0.5246019720250175
19,0.9999918539909335,0.9172531769305963,0.999949639925467,0.4031563845050215,0.999949639925467,0.056836569579288024,0.999949639925467,0.09962772558057081,0.9999726042596022,0.5247326940319716
20,0.9999918539909335,0.916357119582926,0.999949639925467,0.37662337662337664,0.999949639925467,0.058656957928802586,0.999949639925467,0.10150507525376269,0.9999726042596022,0.52507587424401
