Model,Accuracy,Precision,Recall,F1-score,ROC AUC Score,Computational Time
Random Forest Classifier,0.8571175558999335,0.7701826753093695,0.5164987156688402,0.6183323477232406,0.7359941649560817,29.33689522743225
Random Forest Classifier Scaled,0.8583130396280717,0.7747268969589607,0.5184746097609169,0.6212121212121212,0.7374671610776736,28.82168936729431
Random Forest Classifier with Feature Selection,0.8529555014390082,0.7549824150058617,0.5089903181189488,0.6080490971320666,0.7306421574616657,22.569156885147095
Random Forest Classifier with Feature Selection Scaled,0.8521585122869161,0.7547337278106508,0.5040505828887571,0.604430754649923,0.7283720159365036,21.17202854156494
Random Forest Classifier Scaled with Cross Validation,0.8568297542616781,0.7610678270806024,0.5130279225451655,0.6128939141113482,0.8854407298909315,117.66816329956055
