Max Depth,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1,Test F1,Train ROC AUC,Test ROC AUC
1,0.9191223489831745,0.9194525904203323,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2,0.919435970332235,0.9196806777451939,0.6191950464396285,0.6,0.010072014906582062,0.00849514563106796,0.019821605550049554,0.016753091344236137,0.5047634759681495,0.5039995042068446
3,0.9197170076450295,0.919664385793418,0.5816554809843401,0.5340314136125655,0.02618723875711336,0.02063106796116505,0.05011806659920004,0.03972736124634859,0.5122649464074761,0.5095270301886766
4,0.9198106867492943,0.919582926034539,0.5649500384319754,0.5136986301369864,0.037014654781689076,0.03033980582524272,0.0694772662822573,0.057295645530939646,0.5172532394185674,0.5139118406828389
5,0.9200428480076899,0.9191267513848159,0.5834564254062038,0.46875,0.03978445888099914,0.03033980582524272,0.07448965159587007,0.056990881458966566,0.518642572874485,0.5136637720741494
6,0.9205682655924796,0.9190615835777126,0.6238660153524075,0.4620253164556962,0.04502190663242182,0.02953074433656958,0.08398309065288868,0.05551330798479087,0.521316689328477,0.5132592413298128
7,0.9216883418391245,0.9188986640599544,0.6861702127659575,0.4540540540540541,0.058468046532708866,0.03398058252427184,0.10775442015870806,0.0632292058712834,0.5280574849036703,0.5152006534423046
8,0.9236759680513524,0.918833496252851,0.771622934888241,0.452970297029703,0.07997179835826157,0.037014563106796114,0.14492356833219255,0.06843679880329095,0.5389445187074519,0.5165493114633846
9,0.9271502409182182,0.918377321603128,0.8662207357859532,0.4331983805668016,0.11738933373621394,0.043284789644012944,0.20675891431612559,0.07870540639941155,0.5578970137408635,0.5191617087351116
10,0.932758768160509,0.9177908113391985,0.9303341902313624,0.41414141414141414,0.1822531097346024,0.04975728155339806,0.3047963953341475,0.08884073672806067,0.5905260993187375,0.5217955023544154
11,0.9411165734627462,0.9165363310524601,0.9680998613037448,0.38018741633199465,0.28121065619177116,0.05744336569579288,0.43582439024390246,0.09980671235283782,0.6401976387197389,0.5246196912113523
12,0.9517756263262721,0.9166014988595633,0.9874741578499331,0.3944511459589867,0.4089238052072317,0.06614077669902912,0.5783475783475783,0.1132859864888273,0.704233685181099,0.5286228725794387
13,0.9640353699713667,0.9156565656565656,0.9958629373145067,0.3715545755237045,0.5576371053029159,0.06816343042071198,0.7149405991735537,0.11519398393437019,0.7787166303074213,0.5290317471048913
14,0.9760751713716658,0.9147930922124471,0.9991432855001071,0.35756972111553786,0.7047892430880798,0.07261326860841424,0.826541459957477,0.1207128446536651,0.852368033106465,0.5305921967111814
15,0.9864165298815978,0.9134245682632779,0.9997580157289776,0.3342293906810036,0.8322505917308758,0.07544498381877023,0.9083463874460659,0.1231023102310231,0.9161164330529129,0.5311398141859461
16,0.993955661272651,0.9142391658520691,1.0,0.3620689655172414,0.9252656493931611,0.08495145631067962,0.961182317551661,0.13761467889908258,0.9626328246965805,0.5359196292114033
17,0.9981386369283028,0.9137666992505702,1.0,0.3534844668345928,0.97698544593846,0.08515372168284789,0.9883587640420817,0.13724531377343113,0.98849272296923,0.5357549741024631
18,0.9996415756010737,0.9129846855653307,1.0,0.3347210657785179,0.9955683134411039,0.08131067961165049,0.9977792358552465,0.13083807973962572,0.9977841567205519,0.5335765248650073
19,0.9999348319274679,0.912039752362333,1.0,0.32513451191391235,0.9991942388074735,0.08555825242718447,0.9995969570255429,0.1354683746997598,0.9995971194037367,0.5350004034125433
20,0.9999714889682673,0.9092375366568914,1.0,0.2938856015779093,0.9996474794782696,0.0904126213592233,0.9998237086659783,0.1382830626450116,0.9998237397391347,0.5356911076177362
