Model,Accuracy,Precision,Recall,F1-score,ROC AUC Score,Computational Time
Gradient Boosting with All Variables,0.9194362984685566,0.49865951742627346,0.03762135922330097,0.06996426556328757,0.5171539356893314,19.295389890670776
Gradient Boosting with All Variables (CV),0.91961110723247,0.5367015292583812,0.047187375339286367,0.0867303061697299,0.8368757493215954,74.8389458656311
Gradient Boosting with Resampling,0.8237571065682835,0.607129865405602,0.33649193548387096,0.4330003891555325,0.6410295975993016,8.050771236419678
Gradient Boosting with Resampling (CV),0.8226986980974555,0.6041838969836177,0.3292175778614911,0.42616763007003094,0.8353054569119089,31.13334083557129
