Max Depth,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1,Test F1,Train ROC AUC,Test ROC AUC
1,0.8173460747550502,0.80000806419096,0.6244036431979182,0.0,0.2176805604556222,0.0,0.32281934374766424,0.0,0.5924724513906956,0.5
2,0.8237873472843837,0.8004112737389621,0.6127675840978594,0.5490196078431373,0.32316919510105335,0.01129032258064516,0.42316449430787,0.022125642038719872,0.636056328709883,0.5044859455249882
3,0.824815531631789,0.774605862666828,0.6105622417819292,0.3909279778393352,0.3426238596844917,0.2276209677419355,0.4389346246973366,0.28771661569826706,0.643994414123334,0.5694830810182889
4,0.8279101649127051,0.7702511995484053,0.622316459051153,0.39378238341968913,0.35502242830502495,0.27580645161290324,0.4521181001283697,0.32440123310410246,0.6505780085025245,0.5848313040283154
5,0.8334038950042337,0.5986048949639128,0.6451980371538731,0.2697095435684647,0.3711002469633587,0.5897177419354839,0.47118676607045723,0.3701360329009807,0.6600407551362287,0.5952721565884265
6,0.8418410547961775,0.5686867465021572,0.6765932102441929,0.2770307034589973,0.40078625069300944,0.7185483870967742,0.5033867189972779,0.3998877980364656,0.6764461979370067,0.6248858058663146
7,0.855398975847748,0.5225998951655175,0.7258011503697617,0.2568217163862576,0.4451892545738622,0.7324596774193548,0.5518727937271563,0.38029938239296557,0.7015709764672796,0.6012986356453157
8,0.8738357324301439,0.51538244425628,0.7832340886242364,0.22509541241529715,0.5104581422307344,0.5826612903225806,0.6180886122299524,0.3247373447946514,0.7375697084400651,0.5406124353936375
9,0.9004475625982823,0.38599250030240717,0.859358095924991,0.22341342527744856,0.600524167128673,0.8360887096774193,0.7069957871002196,0.35260607091233737,0.7879767616889034,0.5547814144627206
10,0.9390044756259828,0.6507398895205838,0.9430664439018122,0.27125556104794857,0.7396804596542513,0.4425403225806452,0.8290822811626133,0.33634692001225863,0.8642582835801341,0.5726637402429964
11,0.9679549211725333,0.6437643643401476,0.9826207855404936,0.23498837368349063,0.8548964265914016,0.3463709677419355,0.9143195967981026,0.2800097791541032,0.9255581637764034,0.5322399670119385
12,0.9928027095681625,0.7294463932905931,0.9985403742897357,0.3276201733648542,0.965425129781765,0.3352822580645161,0.9817035670356704,0.331406935033878,0.9825361602690814,0.5816323593129898
13,0.999233901858796,0.7041248336760615,1.0,0.32565982404692084,0.9961695479058515,0.4477822580645161,0.9980810988234106,0.37707979626485566,0.9980847739529257,0.6079947528415419
14,0.9999596790451998,0.745373170436676,1.0,0.3224115334207077,0.9997983972582027,0.24798387096774194,0.9998991884671606,0.28034188034188035,0.9998991986291014,0.5588490495406223
15,0.9999798395226,0.7920648360953187,1.0,0.4216388225934765,0.9998991986291014,0.10685483870967742,0.9999495967741936,0.17050024127392632,0.9999495993145506,0.5351067701940101
16,0.9999798395226,0.7060602395064716,1.0,0.2685736988478347,0.9998991986291014,0.2725806451612903,0.9999495967741936,0.27056233740244146,0.9999495993145506,0.5435026606684431
17,0.9999798395226,0.7719850006048143,1.0,0.4054936089203155,0.9998991986291014,0.3006048387096774,0.9999495967741936,0.34525877040639114,0.9999495993145506,0.5952144701587296
18,0.9999798395226,0.7412604330470546,0.9999495993145506,0.3441711229946524,0.9999495993145506,0.3243951612903226,0.9999495993145506,0.3339906590555267,0.999968499492211,0.5849333298513505
19,0.9999798395226,0.7456957380750776,1.0,0.3213053860440435,0.9998991986291014,0.2441532258064516,0.9999495967741936,0.2774659182036889,0.9999495993145506,0.5576141362135428
20,0.9999798395226,0.6655376799322608,1.0,0.24807372714911619,0.9998991986291014,0.3310483870967742,0.9999495967741936,0.28361689265048795,0.9999495993145506,0.540102087807749
