Max Depth,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1,Test F1,Train ROC AUC,Test ROC AUC
1,0.806721503165195,0.80000806419096,0.6540415704387991,0.0,0.07136737059624011,0.0,0.12869217486140144,0.0,0.5309648616649408,0.5
2,0.81922099915326,0.80000806419096,0.6459960189863727,0.0,0.21264049191068998,0.0,0.31996056423479446,0.0,0.5917542643266263,0.5
3,0.8224869964920769,0.800975767106165,0.6220326003719505,0.5512820512820513,0.28657829746484553,0.026008064516129033,0.3923814781588572,0.0496726992683866,0.621522078435181,0.5103579962719752
4,0.8240796742066853,0.7921454780049192,0.6170275301263839,0.4198849630238291,0.3174235169598307,0.1030241935483871,0.41919595314164004,0.16545248502509308,0.6340844132434701,0.5337206548105828
5,0.8268114188943995,0.7564614330067336,0.6285024154589371,0.3518111964873765,0.3278564588478403,0.2584677419354839,0.4309231227849359,0.29800092980009296,0.6397040947515917,0.5697106614520926
6,0.830208459336317,0.39845167533567194,0.6375906711964007,0.2226059829535959,0.34998235976009273,0.8056451612903226,0.45190680723675647,0.34882807385098863,0.6501244283711568,0.5511517979225162
7,0.837687996451756,0.7149711705173178,0.6708085883965281,0.3547320567571291,0.3700418325689229,0.5191532258064516,0.4769700513220295,0.4214747524347328,0.6623214215576996,0.6415382075809134
8,0.8485343332930124,0.6235232450304423,0.7071324098769681,0.2743116427761163,0.41424323370797844,0.5362903225806451,0.5224383422323926,0.36296650064815444,0.685675854975028,0.5908103495368827
9,0.8637554937300915,0.558082335389702,0.7597109304426377,0.22870320130222463,0.46625674109167886,0.5098790322580645,0.5778624523705416,0.31576975902110127,0.7146940875676254,0.5400057930303981
10,0.8848332728519012,0.6562638603282126,0.8258479169893139,0.25598904859685145,0.5375233103170203,0.37701612903225806,0.6511982903373531,0.30493273542600896,0.7545925839288439,0.5515442018075962
11,0.9104774001048345,0.6334421999112939,0.8891492685698055,0.2559952746603662,0.6310669825109622,0.4368951612903226,0.7382012204109306,0.32283054003724393,0.8056989335900702,0.559735822165246
12,0.9387827103745817,0.6844482077335591,0.9476524905709455,0.30545750746673905,0.7344891890529711,0.4536290322580645,0.827564666799171,0.36508194061333765,0.8621729616497041,0.5978895627496663
13,0.9634087335188097,0.6704971573726866,0.978172379210666,0.269319161160586,0.8356937654352099,0.3780241935483871,0.9013372472276582,0.3145445395067942,0.9155158216438047,0.5608179533338428
14,0.9838111366477158,0.6184831256804161,0.9944682466511199,0.2178490849837052,0.9241973690842196,0.3504032258064516,0.9580459770114943,0.2686659452774772,0.9614560677055486,0.5179514743013408
15,0.994818757308173,0.6342889399620983,0.9989157932779184,0.24729463846532218,0.9751524620734842,0.4054435483870968,0.9868910992093853,0.3072105102352582,0.9874439275703913,0.5484704763758981
16,0.9985282851497923,0.6498931494697795,0.9997969852306755,0.28377279591125565,0.9928431026661962,0.4925403225806452,0.9963079101760065,0.3600854889822389,0.9963963506728408,0.5908848480500626
17,0.9996875126002984,0.5995725978791178,0.9999495255400768,0.2732828605308766,0.9984879794365203,0.6040322580645161,0.9992182180415101,0.3763109966714815,0.9992376895531958,0.6012449985448834
18,0.9999798395226,0.5782428127898068,1.0,0.2161436829066887,0.9998991986291014,0.4221774193548387,0.9999495967741936,0.2859093391589295,0.9999495993145506,0.5197173070263433
19,0.9999798395226,0.7058586347324705,1.0,0.2877658607525904,0.9998991986291014,0.3191532258064516,0.9999495967741936,0.3026479304081828,0.9999495993145506,0.5608416701080038
20,0.9999798395226,0.629410104431273,1.0,0.23373190685966017,0.9998991986291014,0.3743951612903226,0.9999495967741936,0.2877954281286323,0.9999495993145506,0.5337778941374248
